Property Name,Views,Active Users,New Users,Sessions,Bounce Rate
Acelera - GA4,Error,Error,Error,Error,Error
Alimentar Futuro - GA4,Error,Error,Error,Error,Error
APPS FIESP - GA4,Error,Error,Error,Error,Error
Apps Fiesp - GA4,Error,Error,Error,Error,Error
Brasil Sem Burocracia - GA4,Error,Error,Error,Error,Error
Celebra Saber - GA4,Error,Error,Error,Error,Error
Centro Cultural Fiesp - GA4,Error,Error,Error,Error,Error
Certificado de Origem - GA4,Error,Error,Error,Error,Error
Clima em Debate - GA4,Error,Error,Error,Error,Error
Construbusiness Dinâmico - GA4,Error,Error,Error,Error,Error
Corona Fiesp - GA4,Error,Error,Error,Error,Error
Defesa Democracia e Justiça - GA4,Error,Error,Error,Error,Error
Domingo na Paulista - GA4,Error,Error,Error,Error,Error
Economia Circular - GA4,Error,Error,Error,Error,Error
Festival de Empreendedorismo Diversidade e Inclusão - GA4,Error,Error,Error,Error,Error
Fiesp - Oficial - GA4,Error,Error,Error,Error,Error
FIESP - Missão Empreender - GA4,Error,Error,Error,Error,Error
FIESP.com - Hotsite - GA4,Error,Error,Error,Error,Error
Fórum Arábia Brasil - GA4,Error,Error,Error,Error,Error
Fórum Indústria - GA4,Error,Error,Error,Error,Error
Fórum Indústria APP - GA4,Error,Error,Error,Error,Error
Hotsite Fiesp - GA4,Error,Error,Error,Error,Error
http://apps2.fiesp.com.br/ - GA4,Error,Error,Error,Error,Error
IC Agro - GA4,Error,Error,Error,Error,Error
Induscoop - GA4,Error,Error,Error,Error,Error
Inteligência de Mercado - GA4,Error,Error,Error,Error,Error
Inteligência de Dados - GA4,Error,Error,Error,Error,Error
Jurômetro - GA4,Error,Error,Error,Error,Error
Monitor Banda Larga - GA4,Error,Error,Error,Error,Error
Nova Extranet - GA4,Error,Error,Error,Error,Error
Painel Defesa Comercial - GA4,Error,Error,Error,Error,Error
Prêmio de Economia - GA4,Error,Error,Error,Error,Error
Reforma Política Já - GA4,Error,Error,Error,Error,Error
Reforma Tributária - GA4,Error,Error,Error,Error,Error
Segurança Cibernética - GA4,Error,Error,Error,Error,Error
Selo Fiesp - GA4,Error,Error,Error,Error,Error
